"Accession"	"Gene"	"Description"	"Class"	"Reference"
"VFG006929(gi:27364818)"	"mshI"	"MSHA_biogenesis_protein_MshI_"	"Mannose-sensitive_hemagglutinin_(Msh)A_type_IV_pilus)(CVF259)_"	"Vibrio_vulnificus_CMCP6"
"VFG001307(gb|NP_644949)"	"cap8K"	"capsular_polysaccharide_synthesis_enzyme_Cap8K_"	"Capsule_(VF0003)_"	"Staphylococcus_aureus_subsp._aureus_MW2"
"VFG017254(gi:150392617)"	"SaurJH1_0143"	"polysaccharide_biosynthesis_protein_CapD_"	"Capsule_(CVF110)_"	"Staphylococcus_aureus_subsp._aureus_JH1"
"VFG011865(gi:118475241)"	"fliF"	"flagellar_M-ring_protein_FliF_"	"Flagella_(CVF397)_"	"Campylobacter_fetus_subsp._fetus_82-40"
"VFG007789(gi:507419602)"	"purC"	"phosphoribosylaminoimidazole-succinocarboxamide_synthase_"	"Purine_synthesis_(CVF306)_"	"Mycobacterium_abscessus_subsp._bolletii_50594"
"VFG007450(gi:28899019)"	"fliJ"	"flagellar_protein_"	"Flagella_(CVF281)_"	"Vibrio_parahaemolyticus_RIMD_2210633"
"VFG020130(gi:187734507)"	"icsB"	"virulence_protein_IcsB_"	"Mxi-Spa_TTSS_effectors_controlled_by_VirB_(CVF463)_"	"Shigella_boydii_CDC_3083-94"
"VFG002327(gb|YP_001006740)"	"fliE"	"flagellar_hook-basal_body_complex_protein_FliE_"	"Flagella_(VF0394)_"	"Yersinia_enterocolitica_subsp._enterocolitica_8081"
"VFG010168(gi:118468700)"	"mce3E"	"virulence_factor_Mce_family_protein_"	"Mce3_(CVF338)_"	"Mycobacterium_smegmatis_str._MC2_155"
"VFG014180(gi:26991078)"	"flgD"	"flagellar_basal_body_rod_modification_protein_"	"Flagella_(CVF521)_"	"Pseudomonas_putida_KT2440"
"VFG000748(gb|AAC38400)"	"espF"	"EspF_"	"EspF_(VF0182)_"	"Escherichia_coli_O127:H6_str._E2348/69"
"VFG042260(gi:46398251)"	"ascS"	"AscS_"	"T3SS_(SS032)_"	"Aeromonas_hydrophila_str._AH3"
"VFG013067(gb|YP_405016)"	"shuX"	"shu_locus_protein_ShuX_"	"Shu_(VF0256)_"	"Shigella_dysenteriae_Sd197"
"VFG017344(gi:153949363)"	"yplA"	"lipase_family_protein_"	"YplA_(CVF053)_"	"Yersinia_pseudotuberculosis_IP_31758"
"VFG000220(gb|NP_250416)"	"pscL"	"type_III_secretion_systemt_protein_PscL_"	"TTSS_(VF0083)_"	"Pseudomonas_aeruginosa_PAO1"
"VFG030304(gi:379754347)"	"adhD"	"alcohol_dehydrogenase_"	"MymA_operon_(CVF649)_"	"Mycobacterium_intracellulare_MOTT-02"
"VFG010226(gi:41406663)"	"mce4B"	"hypothetical_protein_"	"Mce4_(CVF339)_"	"Mycobacterium_avium_subsp._paratuberculosis_K-10"
"VFG016218(gi:42782367)"	"BCE_3314"	"thiol-activated_cytolysin_"	"Anthrolysin_O/Cereolysin_O/Hemolysin_I_(CVF558)_"	"Bacillus_cereus_ATCC_10987"
"VFG020061(gi:218891629)"	"pvdO"	"PvdO_"	"Pyoverdine_(CVF551)_"	"Pseudomonas_aeruginosa_LESB58"
"VFG048519"	"Kvar_3766"	"TonB-dependent_siderophore_receptor_"	"Ent_siderophore_(CVF849)_"	"Klebsiella_variicola_At-22"
"VFG007570(gi:28899005)"	"cheY"	"chemotaxis_protein_CheY_"	"Flagella_(CVF281)_"	"Vibrio_parahaemolyticus_RIMD_2210633"
"VFG025889(gi:107024393)"	"cheW"	"chemotaxis_protein_CheW_"	"Flagella_(CVF643)_"	"Burkholderia_cenocepacia_AU_1054"
"VFG048754"	"KPN_01342"	"hypothetical_protein_"	"T6SS-I_(CVF853)_"	"Klebsiella_pneumoniae_subsp._pneumoniae_MGH_78578"
"VFG014661(gi:26991084)"	"flgM"	"negative_regulator_of_flagellin_synthesis_FlgM_"	"Flagella_(CVF521)_"	"Pseudomonas_putida_KT2440"
"VFG023064(gi:169631231)"	"mce4A"	"MCE-family_protein_"	"Mce4_(CVF339)_"	"Mycobacterium_abscessus_ATCC_19977"
"VFG013954(gi:146306666)"	"pilZ"	"type_IV_pilus_assembly_PilZ_"	"Type_IV_pili_biosynthesis_(CVF518)_"	"Pseudomonas_mendocina_ymp"
"VFG011841(gi:118474978)"	"fliY"	"flagellar_motor_switch_protein_"	"Flagella_(CVF397)_"	"Campylobacter_fetus_subsp._fetus_82-40"
"VFG010416(gi:126432883)"	"mce8E"	"virulence_factor_Mce_family_protein_"	"Mce8_(CVF343)_"	"Mycobacterium_sp._JLS"
"VFG038289(gb|YP_008041719)"	"exeH"	"general_secretion_pathway_protein_H_"	"Exe_T2SS_(VF0478)_"	"Aeromonas_hydrophila_ML09-119"
"VFG009900(gi:108801090)"	"devR/dosR"	"two_component_transcriptional_regulator,_LuxR_family_"	"DevR/S_(CVF334)_"	"Mycobacterium_sp._MCS"
"VFG015721(gi:170722898)"	"flgA"	"flagella_basal_body_P-ring_formation_protein_FlgA_"	"Flagella_(CVF521)_"	"Pseudomonas_putida_W619"
"VFG014720(gb|NP_250152)"	"motD"	"flagellar_motor_protein_"	"Deoxyhexose_linking_sugar,_209_Da_capping_structure_(AI138)_"	"Pseudomonas_aeruginosa_PAO1"
"VFG044318(gi:206560061)"	"pvdA"	"putative_L-ornithine_5-monooxygenase_"	"ornibactin_(IA036)_"	"Burkholderia_cenocepacia_J2315"
"VFG024727(gi:340627935)"	"pks1"	"putative_polyketide_synthase_PKS1_"	"PDIM_(phthiocerol_dimycocerosate"	"ND"
"VFG015486(gi:26989815)"	"PP_3096"	"hypothetical_protein_"	"Hcp_secretion_island-1_encoded_type_VI_secretion_system_(H-T6SS)(CVF535)_"	"Pseudomonas_putida_KT2440"
"VFG038308(gb|YP_855111)"	"exeM"	"general_secretion_pathway_protein_M_"	"exe_(SS209)_"	"Aeromonas_hydrophila_subsp._hydrophila_ATCC_7966"
"VFG043406(gi:42780819)"	"motP"	"flagellar_motor_protein_MotP_"	"peritrichous_flagella_(AI153)_"	"Bacillus_cereus_ATCC_10987"
"VFG022873(gi:333991745)"	"sigF"	"RNA_polymerase_sigma_factor_SigF_"	"Sigma_F_(CVF326)_"	"Mycobacterium_sp._JDM601"
"VFG010249(gi:15610632)"	"mce4D"	"MCE-FAMILY_PROTEIN_MCE4D_"	"Mce4_(CVF339)_"	"Mycobacterium_tuberculosis_H37Rv"
"VFG013299(gb|NP_438681)"	"waaQ"	"heptosyltransferase-like_protein_"	"LOS_(CVF494)_"	"Haemophilus_influenzae_Rd_KW20"
"VFG038821(gi:145298485)"	"flgA"	"flagellar_basal_body_P-ring_biosynthesis_protein_FlgA_"	"Polar_flagella_(CVF786)_"	"Aeromonas_salmonicida_subsp._salmonicida_A449"
"VFG010123(gi:145222691)"	"mce3C"	"virulence_factor_Mce_family_protein_"	"Mce3_(CVF338)_"	"Mycobacterium_gilvum_PYR-GCK"
"VFG013368(gb|NP_439034)"	"rffG"	"dTDP-glucose_46-dehydratase_"	"LOS_(CVF494)_"	"Haemophilus_influenzae_Rd_KW20"
"VFG035446(gi:410484153)"	"aec32"	"hypothetical_protein_"	"ACE_T6SS_(CVF736)_"	"Escherichia_coli_O104:H4_str._2009EL-2050"
"VFG048523"	"entD"	"4'-phosphopantetheinyl_transferase_"	"Ent_siderophore_(CVF849)_"	"Klebsiella_pneumoniae_342"
"VFG037289(gi:126642416)"	"basG"	"histidine_decarboxylase_"	"Acinetobactin_(CVF768)_"	"Acinetobacter_baumannii_ATCC_17978"
"VFG037999(gi:384130052)"	"ABK1_0092"	"putative_polysaccharide_biosynthesis_protein_"	"Capsule_(CVF775)_"	"Acinetobacter_baumannii_1656-2"
"VFG015712(gi:167034908)"	"flhA"	"flagellar_biosynthesis_protein_FlhA_"	"Flagella_(CVF521)_"	"Pseudomonas_putida_GB-1"
"VFG022025(gi:118466988)"	"eccA3"	"ATPase_AAA_"	"ESX-3_(T7SS)(CVF635)_"	"Mycobacterium_avium_104"
"VFG030421(gi:523914968)"	"fadD13"	"putative_acyl-CoA_dehydrogenase_"	"MymA_operon_(CVF649)_"	"Mycobacterium_yongonense_05-1390"
"VFG010780(gi:54296148)"	"lvhB4"	"Legionella_vir_homologue_protein_"	"Lvh_(Legionella_vir_homologs"	"ND"
"VFG033543(gi:260869686)"	"escN"	"translocator_EscN_"	"LEE_locus_encoded_TTSS_(CVF431)_"	"Escherichia_coli_O111:H-_str._11128"
"VFG015627(gi:170719573)"	"pilQ"	"type_IV_pilus_secretin_PilQ_"	"Type_IV_pili_biosynthesis_(CVF518)_"	"Pseudomonas_putida_W619"
"VFG014120(gi:152983772)"	"PSPA7_1971"	"UDP-N-acetylglucosamine_2-epimerase_"	"LPS_O-antigen_(P._aeruginosa)(CVF520)_"	"Pseudomonas_aeruginosa_PA7"
"VFG018655(gi:157149904)"	"cshA"	"surface-associated_protein_CshA_"	"Fibronectin-binding_protein_(AI194)_"	"Streptococcus_gordonii_str._Challis_substr._CH1"
"VFG043060(gi:16765311)"	"fliJ"	"flagellar_biosynthesis_chaperone_"	"peritrichous_flagella_(AI139)_"	"Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._LT2"
"VFG044277(gi:151222294)"	"sfaD"	"hypothetical_protein_"	"staphyloferrin_A_(IA026)_"	"Staphylococcus_aureus_subsp._aureus_str._Newman(CVF624)_"
"VFG038865(gb|YP_001140286)"	"fliG"	"flagellar_motor_switch_protein_G_"	"Lateral_flagella_(VF0474)_"	"Aeromonas_salmonicida_subsp._salmonicida_A449"
"VFG009256(gi:118618136)"	"sapM"	"acid_phosphatase_"	"Lipid_phosphatase_(CVF301)_"	"Mycobacterium_ulcerans_Agy99"
"VFG007372(gi:28897547)"	"cheV"	"chemotaxis_CheV_"	"Flagella_(CVF281)_"	"Vibrio_parahaemolyticus_RIMD_2210633"
"VFG029676(gi:507423664)"	"mbtH"	"MbtH-like_protein_"	"GPL_locus_(CVF650)_"	"Mycobacterium_abscessus_subsp._bolletii_50594"
"VFG031321(gi:406033176)"	"mmpL11"	"membrane_protein_mmpL11_"	"Heme_uptake_(CVF668)_"	"Mycobacterium_indicus_pranii_MTCC_9506"
"VFG005579(gi:116516768)"	"eno"	"phosphopyruvate_hydratase_"	"Streptococcal_enolase_(CVF153)_"	"Streptococcus_pneumoniae_D39"
"VFG007985(gi:41408216)"	"stf0"	"hypothetical_protein_"	"Sulfolipid-1_biosynthesis_and_transport_(CVF289)_"	"Mycobacterium_avium_subsp._paratuberculosis_K-10"
"VFG031464(gi:145223220)"	"ndk"	"nucleoside_diphosphate_kinase_"	"Nucleoside_diphosphate_kinase_(CVF660)_"	"Mycobacterium_gilvum_PYR-GCK"
"VFG042328(gi:157372714)"	"Spro_4481"	"hemolysin_activator_HlyB_domain-containing_protein_"	"ShlA-ShlB_(SS131)_"	"Serratia_proteamaculans_568"
"VFG009676(gi:41407687)"	"ahpC"	"AhpC_"	"AhpC_(CVF322)_"	"Mycobacterium_avium_subsp._paratuberculosis_K-10"
"VFG024116(gi:406033434)"	"sodA"	"superoxide_dismutase_(Mn"	"ND"	"ND"
"VFG022835(gi:333990603)"	"ahpC"	"alkyl_hydroperoxide_reductase_C_protein_AhpC_"	"AhpC_(CVF322)_"	"Mycobacterium_sp._JDM601"
"VFG010109(gi:126436741)"	"mce3B"	"virulence_factor_Mce_family_protein_"	"Mce3_(CVF338)_"	"Mycobacterium_sp._JLS"
"VFG033612(gi:215488989)"	"grlR"	"negative_regulator_GrlR_"	"LEE_encoded_T3SS_(SS019)_"	"Escherichia_coli_O127:H6_str._E2348/69"
"VFG006905(gi:27364989)"	"pilB"	"Type_IV_pilin_assembly_protein_PilB_"	"type_IV_pili_(AI113)_"	"Vibrio_vulnificus_CMCP6"
"VFG037504(gi:213156718)"	"AB57_0988"	"hypothetical_protein_"	"Heme_utilization__(CVF769)_"	"Acinetobacter_baumannii_AB0057"
"VFG042067(gb|NP_460542)"	"steA"	"type_III_secretion_system_effector_SteA_"	"SPI-1_encoded_T3SS_(SS010)_"	"Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._LT2"
"VFG014316(gi:146282225)"	"flaG"	"flagellin_FlaG,_putative_"	"Flagella_(CVF521)_"	"Pseudomonas_stutzeri_A1501"
"VFG044285(gi:197284143)"	"pbtC"	"decarboxylase_"	"Proteobactin_(IA034)_"	"Proteus_mirabilis_HI4320"
"VFG043464(gi:14571813)"	"pas"	"Pas_"	"Fibronectin-binding_protein_(AI197)_"	"Streptococcus_intermedius_str._GAI-1157"
"VFG035222(gi:218696629)"	"EC55989_3329"	"hypothetical_protein_"	"SCI-I_T6SS_(CVF734)_"	"Escherichia_coli_55989"
"VFG004527(gi:15928254)"	"icaB"	"intercellular_adhesion_protein_B_"	"Intercellular_adhesin_(CVF106)_"	"Staphylococcus_aureus_subsp._aureus_N315"
"VFG012131(gi:148379581)"	"colA"	"secreted_collagenase_"	"Kappa-toxin_(collagenase)(CVF411)_"	"Clostridium_botulinum_A_str._ATCC_3502"
"VFG020072(gi:218891607)"	"pvdH"	"diaminobutyrate--2-oxoglutarate_aminotransferase_"	"Pyoverdine_(CVF551)_"	"Pseudomonas_aeruginosa_LESB58"
"VFG019077(gi:169832817)"	"plr/gapA"	"glyceraldehyde-3-phosphate_dehydrogenase,_type_I_"	"Streptococcal_plasmin_receptor/GAPDH_(CVF123)_"	"Streptococcus_pneumoniae_Hungary19A-6"
"VFG020101(gi:187734478)"	"mxiJ"	"type_III_secretion_apparatus_lipoprotein,_YscJ/HrcJ_family_"	"Mxi-Spa_TTSA_(type_III_secretion_apparatus)(CVF462)_"	"Shigella_boydii_CDC_3083-94"
"VFG038856(gb|YP_001140277)"	"lfiN"	"lateral_flagellar_motor_switch_protein,_lfiN_"	"Lateral_flagella_(VF0474)_"	"Aeromonas_salmonicida_subsp._salmonicida_A449"
"VFG012520(gi:88770303)"	"iucD"	"IucD_"	"Aerobactin_siderophore_(CVF457)_"	"Escherichia_coli_APEC_O1"
"VFG010187(gi:41408209)"	"mce3F"	"hypothetical_protein_"	"Mce3_(CVF338)_"	"Mycobacterium_avium_subsp._paratuberculosis_K-10"
"VFG007997(gi:118463607)"	"papA3"	"condensation_domain_protein_"	"GPL_locus_(CVF650)_"	"Mycobacterium_avium_104"
"VFG014570(gi:26991042)"	"fliR"	"flagellar_biosynthesis_protein_"	"Flagella_(CVF521)_"	"Pseudomonas_putida_KT2440"
"VFG012572(gi:110641374)"	"sitA"	"iron_transport_protein,_periplasmic-binding_protein_"	"Iron/manganese_transport_(CVF459)_"	"Escherichia_coli_536"
"VFG037345(gi:126642421)"	"basC"	"BasC_"	"Acinetobactin_(CVF768)_"	"Acinetobacter_baumannii_ATCC_17978"
"VFG000101(gb|NP_230486)"	"tcpN/toxT"	"TCP_pilus_virulence_regulatory_protein_"	"TCP_(VF0126)_"	"Vibrio_cholerae_O1_biovar_El_Tor_str._N16961"
"VFG006156(gi:121635532)"	"pilD"	"type_IV_prepilin_leader_peptidase_"	"Type_IV_pili_(CVF189)_"	"Neisseria_meningitidis_FAM18"
"VFG043024(gi:16764532)"	"flgD"	"flagellar_basal_body_rod_modification_protein_"	"peritrichous_flagella_(AI139)_"	"Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._LT2"
"VFG005380(gi:55823195)"	"srtA"	"sortase,_truncated_"	"Sortase_A_(CVF130)_"	"Streptococcus_thermophilus_CNRZ1066"
"VFG013378(gi:33152297)"	"lpxD"	"UDP-3-O-3-hydroxymyristoyl_glucosamine_N-acyltransferase_"	"LOS_(CVF494)_"	"Haemophilus_ducreyi_35000HP]"
"VFG014674(gi:26991085)"	"flgN"	"hypothetical_protein_"	"Flagella_(CVF521)_"	"Pseudomonas_putida_KT2440"
"VFG014088(gi:77461524)"	"chpC"	"CheW_protein_"	"Type_IV_pili_twitching_motility_related_proteins_(CVF519)_"	"Pseudomonas_fluorescens_Pf0-1"
"VFG014350(gi:148546732)"	"fliT"	"hypothetical_protein_"	"Flagella_(CVF521)_"	"Pseudomonas_putida_F1"
"VFG004502(gi:87161956)"	"ebh"	"cell_surface_protein_"	"Cell_wall_associated_fibronectin_binding_protein_(CVF107)_"	"Staphylococcus_aureus_subsp._aureus_USA300_FPR3757"
"VFG004504(gi:88195168)"	"ebh"	"hypothetical_protein_"	"Cell_wall_associated_fibronectin_binding_protein_(CVF107)_"	"Staphylococcus_aureus_subsp._aureus_NCTC_8325"
"VFG035288(gi:386640309)"	"ECABU_c31040"	"hypothetical_protein_"	"SCI-I_T6SS_(CVF734)_"	"Escherichia_coli_ABU_83972"
"VFG014418(gi:77457763)"	"fliF"	"flagellar_M-ring_protein_"	"Flagella_(CVF521)_"	"Pseudomonas_fluorescens_Pf0-1"
"VFG010334(gi:145223095)"	"mce7A"	"virulence_factor_Mce_family_protein_"	"Mce7_(CVF342)_"	"Mycobacterium_gilvum_PYR-GCK"
"VFG022678(gi:333990549)"	"mgtC"	"Mg2+_transport_p-type_ATPase_C_MgtC_"	"Magnesium_transport_(CVF313)_"	"Mycobacterium_sp._JDM601"
"VFG000852(gb|AAD26595)"	"aafD"	"chaperone_protein_AafD_"	"AAFs_(VF0214)_"	"Escherichia_coli_str._042"
"VFG039196(gb|NP_820627)"	"dotB"	"Type_IVB_secretion_system_Dot/Icm_ATPase_DotB_"	"Dot/Icm_T4SS_(VF0503)_"	"Coxiella_burnetii_RSA_493"
"VFG043383(gb|NP_207633)"	"pseB"	"UDP-N-acetylglucosamine_4,6-dehydratase_"	"Pse5Ac7Ac_(AI150)_"	"Helicobacter_pylori_26695"
"VFG013761(gi:152986771)"	"pilA"	"type_IV_pilin_structural_subunit_"	"Type_IV_pili_biosynthesis_(CVF518)_"	"Pseudomonas_aeruginosa_PA7"
"VFG002217(gb|NP_541011)"	"virB10"	"type_IV_secretion_system_channel_protein_VirB10__"	"VirB_type_IV_secretion_system_(VF0365)_"	"Brucella_melitensis_bv._1_str._16M"
"VFG037864(gi:384130043)"	"ABK1_0083"	"Low_molecular_weight_protein-tyrosine-phosphatase_"	"Capsule_(CVF775)_"	"Acinetobacter_baumannii_1656-2"
"VFG022951(gi:169630970)"	"devR/dosR"	"LuxR_family_transcriptional_regulator_"	"DevR/S_(CVF334)_"	"Mycobacterium_abscessus_ATCC_19977"
"VFG019146(gi:187932524)"	"colA"	"collagenase_"	"Kappa-toxin_(collagenase)(CVF411)_"	"Clostridium_botulinum_B_str._Eklund_17B"
"VFG015996(gi:116050335)"	"pvdN"	"PvdN_"	"Pyoverdine_(CVF551)_"	"Pseudomonas_aeruginosa_UCBPP-PA14"
"VFG011717(gi:57238470)"	"kpsT"	"capsular_polysaccharide_ABC_transporter,_ATP-binding_protein_"	"Capsule_biosynthesis_and_transport_(CVF393)_"	"Campylobacter_jejuni_RM1221"
"VFG016360(gi:47525825)"	"GBAA0552"	"internalin,_putative_"	"Hal_(CVF573)_"	"Bacillus_anthracis_str._Ames_Ancestor"
"VFG025826(gi:206558541)"	"cheY"	"chemotaxis_protein_CheY_"	"Flagella_(CVF643)_"	"Burkholderia_cenocepacia_J2315"
"VFG049025"	"KPHS_35440"	"glycosyl_transferase_family_protein_"	"LPS_rfb_locus_(CVF857)_"	"Klebsiella_pneumoniae_subsp._pneumoniae_HS11286"
"VFG029771(gi:119866307)"	"fadE5"	"acyl-CoA_dehydrogenase_domain-containing_protein_"	"GPL_locus_(CVF650)_"	"Mycobacterium_sp._KMS"
"VFG013371(gi:148828056)"	"rffG"	"dTDP-glucose_46-dehydratase_"	"LOS_(CVF494)_"	"Haemophilus_influenzae_PittGG"
"VFG043091(gi:15802296)"	"cheR"	"chemotaxis_methyltransferase_CheR_"	"peritrichous_flagella_(AI140)_"	"Escherichia_coli_O157:H7_str._EDL933"
"VFG010349(gi:41406859)"	"mce7C"	"hypothetical_protein_"	"Mce7_(CVF342)_"	"Mycobacterium_avium_subsp._paratuberculosis_K-10"
"VFG005452(gi:94995174)"	"ska"	"Streptokinase_"	"Streptokinase_A_(CVF142)_"	"Streptococcus_pyogenes_MGAS10750"
"VFG008251(gi:118619526)"	"lpqH"	"19_kDa_lipoprotein_antigen_precursor_LpqH_"	"19-kD_protein_(CVF296)_"	"Mycobacterium_ulcerans_Agy99"
"VFG006297(gi:15677816)"	"fetA/frpB"	"iron-regulated_outer_membrane_protein_FrpB_"	"Ferric_enterobactin_transport_protein_A_/_ferric-repressed_protein_B_(CVF203)_"	"Neisseria_meningitidis_MC58"
"VFG026103(gi:170732103)"	"wcbQ"	"sulfatase_"	"Capsule_I_(CVF645)_"	"Burkholderia_cenocepacia_MC0-3"
"VFG044257(gi:151220275)"	"sbnD"	"membrane_transporter_protein_"	"staphyloferrin_B_(IA027)_"	"Staphylococcus_aureus_subsp._aureus_str._Newman"
"VFG044295(gi:197285289)"	"hmuV"	"hemin_importer_ATP-binding_subunit_"	"direct_heme_uptake_system_(IA060)_"	"Proteus_mirabilis_HI4320"
"VFG003997(gb|NP_461706)"	"pipB2"	"type_III_secretion_system_effector_PipB3_"	"SPI-2_encoded_T3SS_(SS021)_"	"Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._LT2"
"VFG003515(gi:123443723)"	"sycB"	"putative_type_III_secretion_apparatus_protein_"	"Ysa_T3SS_(SS018)_"	"Yersinia_enterocolitica_subsp._enterocolitica_8081"
"VFG015497(gi:70733376)"	"clpV1"	"ClpB_"	"Hcp_secretion_island-1_encoded_type_VI_secretion_system_(H-T6SS)(CVF535)_"	"Pseudomonas_fluorescens_Pf-5"
"VFG035595(gi:260866366)"	"aec26"	"hypothetical_protein_"	"ACE_T6SS_(CVF736)_"	"Escherichia_coli_O111:H-_str._11128"
"VFG009686(gi:41410019)"	"sodC"	"SodC_"	"Cu,Zn_superoxide_dismutase_(CVF323)_"	"Mycobacterium_avium_subsp._paratuberculosis_K-10"
"VFG048832"	"Kvar_1551"	"polysaccharide_export_protein_"	"Capsule_(CVF854)_"	"Klebsiella_variicola_At-22"
"VFG035523(gi:387605690)"	"aec29"	"putative_type_VI_secretion_system_protein_"	"ACE_T6SS_(CVF736)_"	"Escherichia_coli_O44:H18_042"
"VFG014123(gi:152988367)"	"PSPA7_1974"	"flagellin_modification_protein_A_"	"LPS_O-antigen_(P._aeruginosa)(CVF520)_"	"Pseudomonas_aeruginosa_PA7"
"VFG009597(gi:120405498)"	"narG"	"nitrate_reductase,_alpha_subunit_"	"Nitrate_reductase_(CVF318)_"	"Mycobacterium_vanbaalenii_PYR-1"
"VFG014133(gi:152989709)"	"PSPA7_1984"	"UDP-glucose_4-epimerase_(Galactowaldenase)(UDP-galactose4-epimerase"	"ND"	"ND"
"VFG048723(gb|YP_005226607.1)"	"tli1"	"type_VI_secretion_system_immunity_protein_"	"T6SS_(VF0569)_"	"Klebsiella_pneumoniae_subsp._pneumoniae_HS11286"
"VFG008313(gi:120401103)"	"eccCb1"	"cell_divisionFtsK/SpoIIIE_"	"ESX-1_(T7SS)(CVF298)_"	"Mycobacterium_vanbaalenii_PYR-1"
"VFG015214(gi:71734883)"	"hrcR"	"type_III_secretion_component_protein_HrcR_"	"P._syringae_TTSS_(CVF532)_"	"Pseudomonas_syringae_pv._phaseolicola_1448A"
"VFG038501(gb|YP_008043959)"	"tapV"	"type_IV_pilus_motility_protein_"	"Tap_type_IV_pili_(VF0475)_"	"Aeromonas_hydrophila_ML09-119"
"VFG034628(gi:260845907)"	"cfaC"	"outer_membrane_fimbrial_user_protein_"	"CFA/I_fimbriae_(CVF684)_"	"Escherichia_coli_O103:H2_str._12009"
"VFG013290(gi:33151982)"	"galE"	"UDP-glucose-4-epimerase_"	"LOS_(CVF494)_"	"Haemophilus_ducreyi_35000HP"
"VFG029769(gi:118473445)"	"fadE5"	"acyl-CoA_dehydrogenase_"	"GPL_locus_(CVF650)_"	"Mycobacterium_smegmatis_str._MC2_155"
"VFG037592(gi:469822389)"	"csuB"	"CsuB_"	"Csu_pili_(CVF770)_"	"Acinetobacter_baumannii_D1279779"
"VFG002176(gb|AAM75252)"	"cylB"	"ABC-type_transporter_"	"Cytolysin_(VF0356)_"	"Enterococcus_faecalis_str._MMH594"
"VFG012601(gi:91213002)"	"chuA"	"outer_membrane_hemin_receptor_ChuA_"	"Heme_uptake_(CVF460)_"	"Escherichia_coli_UTI89"
"VFG014209(gi:70729005)"	"flgF"	"flagellar_basal-body_rod_protein_FlgF_"	"Flagella_(CVF521)_"	"Pseudomonas_fluorescens_Pf-5"
"VFG044137(gi:218927488)"	"hmuT"	"hemin-binding_periplasmic_protein_"	"direct_heme_uptake_system_(IA058)_"	"Yersinia_pestis_CO92"
"VFG048950"	"KPN_02508"	"putative_rhamnosyl_transferase_"	"Capsule_(CVF854)_"	"Klebsiella_pneumoniae_subsp._pneumoniae_MGH_78578"
"VFG015969(gi:104782275)"	"pvdA"	"L-ornithine_N5-oxygenase_PvdA_"	"Pyoverdine_(CVF551)_"	"Pseudomonas_entomophila_L48"
"VFG014829(gi:77457181)"	"algX"	"alginate_biosynthesis_protein_AlgX_"	"Alginate_biosynthesis_(CVF522)_"	"Pseudomonas_fluorescens_Pf0-1"
"VFG011338(gi:33596151)"	"fliM"	"flagellar_motor_switch_protein_FliM_"	"Flagella_(CVF382)_"	"Bordetella_parapertussis_12822"
"VFG014726(gi:26991025)"	"motD"	"flagellar_motor_protein_"	"Flagella_(CVF521)_"	"Pseudomonas_putida_KT2440"
"VFG049062(gb|YP_002920345.1)"	"glf"	"UDP-galactopyranose_mutase_"	"LPS_(VF0561)_"	"Klebsiella_pneumoniae_subsp._pneumoniae_NTUH-K2044"
"VFG003494(gi:122815854)"	"yopJ/yopP"	"putative_targeted_effector_protein_"	"TTSS_effectors_(CVF048)_"	"Yersinia_enterocolitica_subsp._enterocolitica_8081"
"VFG038814(gi:330830307)"	"cheR-3"	"CheR_methyltransferase_"	"Polar_flagella_(CVF786)_"	"Aeromonas_veronii_B565"
"VFG031590(gi:15610550)"	"sigD"	"Probable_alternative_RNA_polymerase_sigma-D_factor_SigD_"	"Sigma_D_(CVF663)_"	"Mycobacterium_tuberculosis_H37Rv"
"VFG040954(gi:157159001)"	"gspE"	"general_secretory_pathway_protein_E_"	"gsp_(SS206)_"	"Escherichia_coli_E24377A"
"VFG027368(gi:433644952)"	"mce1B"	"virulence_factor_Mce_family_protein_"	"Mce1_(CVF336)_"	"Mycobacterium_smegmatis_JS623"
"VFG042823(gi:296112619)"	"pilA"	"type_IV_pilin_PilA_"	"type_IV_pili_(AI108)_"	"Moraxella_catarrhalis_RH4"
"VFG048688"	"KPR_2383"	"hypothetical_protein_"	"T6SS-I_(CVF853)_"	"Klebsiella_pneumoniae_subsp._rhinoscleromatis_SB3432"
"VFG014414(gi:26991058)"	"fliF"	"flagellar_M-ring_protein_"	"Flagella_(CVF521)_"	"Pseudomonas_putida_KT2440"
"VFG010274(gi:126437560)"	"mce4E"	"virulence_factor_Mce_family_protein_"	"Mce4_(CVF339)_"	"Mycobacterium_sp._JLS"
"VFG004631(gi:88196585)"	"clfB"	"clumping_factor_B,_putative_"	"Clumping_factor_B_(CVF099)_"	"Staphylococcus_aureus_subsp._aureus_NCTC_8325"
"VFG038399(gb|YP_856377)"	"AHA_1843"	"Type_VI_secretion_system_protein_"	"T6SS_(SS194)_"	"Aeromonas_hydrophila_subsp._hydrophila_ATCC_7966"
"VFG048372"	"KOX_01855"	"hypothetical_protein_"	"Type_3_fimbriae_(CVF848)_"	"Klebsiella_oxytoca_KCTC_1686"
"VFG048603(gb|YP_001688093.1)"	"iucB"	"N-acetyltransferase_IucB_"	"Aerobactin_(VF0565)_"	"Klebsiella_pneumoniae_subsp._pneumoniae_NTUH-K2044"
